*sample_name,biosample number,sample_title,bioproject_accession,*organism,host,isolation_source,*collection_date,*geo_loc_name,*lat_lon,altitude,ref_biomaterial,rel_to_oxygen,samp_collect_device,samp_mat_process,samp_size,source_material_id,description,*env_biome,*env_feature,*env_material,Room number and pen (i.e. crate) ID ,Cohort,Antibiotic regimen,Probiotic regimen,Dysentery,DNA extraction plate ID,DNA extraction well ID,Sample_storage_temperature,host_body_habitat,host_diet,host_last_meal,host_life_stage,host_sex,TATTOO,Crate before start of the trial,NURSING_DAM,BIRTH_DAY,LINE,CROSS_BREED,STIGSIRE (male parent),STIGDAM (female parent),host_weight,,,,,,,,,,,,,,
Fe14/14194,SAMN11098089Ê,,PRJNA526405,Pig gut metagenome,Pig,14194,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2D,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,C9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14194,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,8.9,,,,,,,,,,,,,,
Fe14/29691,SAMN11098090Ê,,PRJNA526405,Pig gut metagenome,Pig,29691,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2D,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,C6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29691,B58,60690,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,9128,7.7,,,,,,,,,,,,,,
Fe14/14174,SAMN11098091Ê,,PRJNA526405,Pig gut metagenome,Pig,14174,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2D,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,D11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14174,A23,T12057,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T12057,11,,,,,,,,,,,,,,
Fe14/29951,SAMN11098092Ê,,PRJNA526405,Pig gut metagenome,Pig,29951,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_3,B8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29951,B22,32810,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,7.5,,,,,,,,,,,,,,
Fe14/29703,SAMN11098093Ê,,PRJNA526405,Pig gut metagenome,Pig,29703,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,C2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29703,B48,319427,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,11.7,,,,,,,,,,,,,,
Fe14/29934,SAMN11098094Ê,,PRJNA526405,Pig gut metagenome,Pig,29934,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_6,H9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29934,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR06957,B11614,9.4,,,,,,,,,,,,,,
Fe14/14193,SAMN11098095Ê,,PRJNA526405,Pig gut metagenome,Pig,14193,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_3,D7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14193,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,10.5,,,,,,,,,,,,,,
Fe14/29865,SAMN11098096Ê,,PRJNA526405,Pig gut metagenome,Pig,29865,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_2,B4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29865,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,10.3,,,,,,,,,,,,,,
Fe14/14201,SAMN11098097Ê,,PRJNA526405,Pig gut metagenome,Pig,14201,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2E,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,E5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14201,B48,319427,1/9/2017 0:00:00,316,Duroc x Landrace,BR05942,Y08912,7.1,,,,,,,,,,,,,,
Fe14/29667,SAMN11098098Ê,,PRJNA526405,Pig gut metagenome,Pig,29667,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_2,G9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29667,A26,315286,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,315286,8.8,,,,,,,,,,,,,,
Fe14/14298,SAMN11098099Ê,,PRJNA526405,Pig gut metagenome,Pig,14298,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_2,A2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14298,B21,21508,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,21508,9.8,,,,,,,,,,,,,,
Fe14/29931,SAMN11098100Ê,,PRJNA526405,Pig gut metagenome,Pig,29931,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_2,F6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29931,A31,B11614,1/11/2017 0:00:00,326,Duroc x Large white,BR06957,B11614,11.9,,,,,,,,,,,,,,
Fe14/29754,SAMN11098101Ê,,PRJNA526405,Pig gut metagenome,Pig,29754,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_2,C11,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29754,B44,B11439,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,B11439,10.5,,,,,,,,,,,,,,
Fe14/14320,SAMN11098102Ê,,PRJNA526405,Pig gut metagenome,Pig,14320,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_3,C1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14320,B31,21560,1/11/2017 0:00:00,316,Duroc x Landrace,BR06957,21560,9.1,,,,,,,,,,,,,,
Fe14/14287,SAMN11098103Ê,,PRJNA526405,Pig gut metagenome,Pig,14287,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,2F,Neomycin+D-scour,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day D-Scour oral paste for 14 days; start on: 06/02/2017,0,plate_1,D7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14287,C19,212211,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,212211,6.3,,,,,,,,,,,,,,
Fe14/29924,SAMN11098104Ê,,PRJNA526405,Pig gut metagenome,Pig,29924,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,B1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29924,A37,319096,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,319096,7.6,,,,,,,,,,,,,,
Fe14/14209,SAMN11098105Ê,,PRJNA526405,Pig gut metagenome,Pig,14209,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,G4,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14209,B4,Y08266,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,Y08266,8.6,,,,,,,,,,,,,,
Fe14/29863,SAMN11098106Ê,,PRJNA526405,Pig gut metagenome,Pig,29863,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,G10,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29863,B6,910916,1/11/2017 0:00:00,326,Duroc x Large white,BR05942,314656,9.8,,,,,,,,,,,,,,
Fe14/29692,SAMN11098107Ê,,PRJNA526405,Pig gut metagenome,Pig,29692,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,C1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29692,B4,Y08266,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,9128,9.5,,,,,,,,,,,,,,
Fe14/14188,SAMN11098108Ê,,PRJNA526405,Pig gut metagenome,Pig,14188,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_6,H6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14188,B2,210747,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,12.7,,,,,,,,,,,,,,
Fe14/14307,SAMN11098109Ê,,PRJNA526405,Pig gut metagenome,Pig,14307,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3A,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_3,E7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14307,B42,21272,1/11/2017 0:00:00,316,Duroc x Landrace,BR07264,21272,8.9,,,,,,,,,,,,,,
Fe14/14183,SAMN11098110Ê,,PRJNA526405,Pig gut metagenome,Pig,14183,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,C12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14183,B4,Y08266,1/8/2017 0:00:00,316,Duroc x Landrace,BR06957,210747,9,,,,,,,,,,,,,,
Fe14/14306,SAMN11098111Ê,,PRJNA526405,Pig gut metagenome,Pig,14306,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,A6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14306,B42,21272,1/11/2017 0:00:00,316,Duroc x Landrace,BR07264,21272,9.7,,,,,,,,,,,,,,
Fe14/29901,SAMN11098112Ê,,PRJNA526405,Pig gut metagenome,Pig,29901,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,G5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29901,B55,315649,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315649,8.7,,,,,,,,,,,,,,
Fe14/14163,SAMN11098113Ê,,PRJNA526405,Pig gut metagenome,Pig,14163,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,H3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14163,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,10.2,,,,,,,,,,,,,,
Fe14/14308,SAMN11098114Ê,,PRJNA526405,Pig gut metagenome,Pig,14308,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,G1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14308,B42,21272,1/11/2017 0:00:00,316,Duroc x Landrace,BR07264,21272,9.6,,,,,,,,,,,,,,
Fe14/29700,SAMN11098115Ê,,PRJNA526405,Pig gut metagenome,Pig,29700,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3B,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,C6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29700,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,9.1,,,,,,,,,,,,,,
Fe14/29704,SAMN11098116Ê,,PRJNA526405,Pig gut metagenome,Pig,29704,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,C5,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29704,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,11.1,,,,,,,,,,,,,,
Fe14/14284,SAMN11098117Ê,,PRJNA526405,Pig gut metagenome,Pig,14284,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,A6,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14284,C19,212211,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,212211,6.4,,,,,,,,,,,,,,
Fe14/14275,SAMN11098118Ê,,PRJNA526405,Pig gut metagenome,Pig,14275,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_2,H7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14275,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,10.2,,,,,,,,,,,,,,
Fe14/14231,SAMN11098119Ê,,PRJNA526405,Pig gut metagenome,Pig,14231,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_1,F3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14231,A35,40516,1/9/2017 0:00:00,316,Duroc x Landrace,BR06957,21528,7.7,,,,,,,,,,,,,,
Fe14/14162,SAMN11098120Ê,,PRJNA526405,Pig gut metagenome,Pig,14162,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_5,B7,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14162,A36,T11600,1/6/2017 0:00:00,319,Landrace x Cross bred (LW x D),BY12386,T11600,10.7,,,,,,,,,,,,,,
Fe14/14288,SAMN11098121Ê,,PRJNA526405,Pig gut metagenome,Pig,14288,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3C,ColiGuard,not applicable,1g/day ColiGuard oral paste for 14 days; start on: 01/02/2017,0,plate_3,A3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14288,C19,212211,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,212211,7.1,,,,,,,,,,,,,,
Fe14/29900,SAMN11098122Ê,,PRJNA526405,Pig gut metagenome,Pig,29900,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_1,E1,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29900,B55,315649,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315649,10.2,,,,,,,,,,,,,,
Fe14/14297,SAMN11098123Ê,,PRJNA526405,Pig gut metagenome,Pig,14297,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_1,B8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14297,B21,21508,1/11/2017 0:00:00,316,Duroc x Landrace,BR07335,21508,6.8,,,,,,,,,,,,,,
Fe14/14274,SAMN11098124Ê,,PRJNA526405,Pig gut metagenome,Pig,14274,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_1,E2,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14274,B27,210080,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,210080,8.1,,,,,,,,,,,,,,
Fe14/29679,SAMN11098125Ê,,PRJNA526405,Pig gut metagenome,Pig,29679,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_1,D9,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29679,A37,319096,1/8/2017 0:00:00,326,Duroc x Large white,BR06957,32734,9.7,,,,,,,,,,,,,,
Fe14/29943,SAMN11098126Ê,,PRJNA526405,Pig gut metagenome,Pig,29943,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_1,B12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29943,B23,315132,1/11/2017 0:00:00,326,Duroc x Large white,BR07264,315132,8,,,,,,,,,,,,,,
Fe14/14263,SAMN11098127Ê,,PRJNA526405,Pig gut metagenome,Pig,14263,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3D,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_5,F12,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,14263,B8,Y09733,1/10/2017 0:00:00,316,Duroc x Landrace,BR06957,Y09733,9.4,,,,,,,,,,,,,,
Fe14/29702,SAMN11098128Ê,,PRJNA526405,Pig gut metagenome,Pig,29702,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3E,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_2,E8,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29702,B28,315376,1/9/2017 0:00:00,326,Duroc x Large white,BR05942,315376,9.5,,,,,,,,,,,,,,
Fe14/29715,SAMN11098129Ê,,PRJNA526405,Pig gut metagenome,Pig,29715,14/02/17 0:00,"NSW, Australia","34.1273å¡ S, 150.7387å¡ E",91.1,,,,,,,"DNA extracted from faecal metagenomic sample of Male pig, 13 day(s) after the start of treatment ",Host- gut,Faecal ,Faecal ,3E,Neomycin+ColiGuard,0.1 mL/day  intramuscular injection of neomycin (200mg/mL) for 5 days; start on: 01/02/2017,1g/day ColiGuard oral paste for 14 days; start on: 06/02/2017,0,plate_6,C3,-80C,Intestinal Tract,Commercial pellets,Commercial pellets,Weaner,Male,29715,B13,Y08843,1/9/2017 0:00:00,326,Large white x Duroc,BB19727,40519,8.4,,,,,,,,,,,,,,
